X     rhf             scs-mp2         tot-mp2         dlpno-ccsd(t)   tot-ccsd(t)
2     -3204.64330468  -10.367409746   -3215.01071443  -11.430287415   -3216.073592095
3     -3205.32120261  -12.585941245   -3217.90714386
CBS   -3205.54166602  -13.93362768    -3219.4752937   -14.99650535    -3220.53817137
