X     rhf               scs-mp2           tot-scs-mp2       dlpno-ccsd(t)       tot-dlpno-ccsd(t)
2      -4.26934941      -31.78977376      -36.05912317      -32.81277066        -37.08167831
3      -8.99180469      -34.32597053      -43.31777647
CBS   -10.52762381      -35.86662839      -46.39425220      -36.88962529        -47.41724910
