X     rhf             scs-mp2         tot-mp2           dlpno-ccsd(t)   tot-ccsd(t)
2     -163.30297402   -0.528857238    -163.831831258    -0.558954997    -163.861929017
3     -163.33545897   -0.631691372    -163.967150342
CBS   -163.34602360   -0.69415980     -164.0401834      -0.72425756     -164.07028116
