r Vilj                Vind                Vels                Vtot
3	158.50424086229077	-429.51960405029877	303.35325373917607	32.33789055116807
3.01	146.5495641839315	-425.2034916957358	301.426389841468	22.772462329663654
3.02	135.06618318813287	-420.9403524809156	299.51478870650595	13.640619413723243
3.03	124.03760585817176	-416.72941383816834	297.61830470884274	4.926496728846132
3.04	113.44790848826307	-412.56991640941186	295.73679390594526	-3.3852140152035304
3.05	103.28171554019923	-408.46111378307813	293.870114014089	-11.30928422878992
3.06	93.52418025071164	-404.4022722371083	292.0181243846988	-18.85996760169786
3.07	84.16096595985604	-400.39267048785325	290.18068598108295	-26.051018546914236
3.08	75.17822813196283	-396.4315994447243	288.35766135559123	-32.895709957170254
3.09	66.56259704190185	-392.5183619704441	286.54891462718217	-39.40685030136012
3.1	58.301161100536945	-388.6522726467502	284.75431145934976	-45.59680008686348
3.11	50.38145079435023	-384.83265754541037	282.9737190384767	-51.47748771258341
3.12	42.79142321524348	-381.05885400440957	281.2070060525336	-57.06042473663251
3.13	35.51944715753771	-377.33021040917794	279.45404267015675	-62.356720581483444
3.14	28.554288760120187	-373.64608597872626	277.71470052008726	-67.37709669851881
3.15	21.88509767262662	-370.0058505565657	275.98885267097097	-72.1319002129681
3.16	15.50139372538782	-366.40888440628555	274.2763736114874	-76.63111706941038
3.17	9.393054083729197	-362.85457801167684	272.5771392308328	-80.8843846971148
3.18	3.550300867982364	-359.34233188127575	270.89102679953163	-84.90100421376178
3.19	-2.036310778648703	-355.87155635722615	269.2179149505765	-88.68995218529835
3.2	-7.375904191513568	-352.4416714283424	267.55768366087614	-92.25989195897978
3.21	-12.477292271669967	-349.05210654727426	265.91021423303505	-95.61918458590918
3.22	-17.34898817454911	-345.7023004516644	264.2753892774173	-98.77589934879626
3.23	-21.999215615261253	-342.3917009892041	262.6530926945329	-101.73782390993244
3.24	-26.43591880507902	-339.1197649464859	261.0432096576993	-104.51247409386559
3.25	-30.666772033031	-335.88595788156175	259.44562659600433	-107.10710331858843
3.26	-34.699188905997296	-332.6897539601123	257.86023117754786	-109.52871168856171
3.27	-38.54033126014858	-329.5306357951407	256.2869122929537	-111.78405476233564
3.28	-42.19711775606633	-326.4080942901023	254.72556003916623	-113.87965200700245
3.29	-45.67623216938818	-323.32162848538604	253.17606570349997	-115.82179495127426
3.3	-48.98413138834836	-320.2707454080685	251.63832174796195	-117.6165550484549
3.31	-52.12705312913933	-317.2549599248553	250.11222179381608	-119.26979126017855
3.32	-55.111023379582356	-314.27379459813955	248.59766060640916	-120.78715737131276
3.33	-57.94186358118612	-311.3267795450936	247.09453408024288	-122.17410904603682
3.34	-60.62519755927288	-308.4134522997309	245.60273922427663	-123.43591063472715
3.35	-63.16645821047467	-305.5333576778556	244.12217414747502	-124.57764174085523
3.36	-65.57089395653519	-302.68604764484076	242.6527380445899	-125.60420355678605
3.37	-67.84357497300736	-299.87108118615873	241.19433118215704	-126.52032497700907
3.38	-69.98939920109858	-297.0880241806081	239.7468548847266	-127.3305684969801
3.39	-72.01309815059967	-294.33644927616126	238.31021152130836	-128.03933590545256
3.4	-73.91924250152043	-291.6159357683814	236.88430449203094	-128.6508737778709
3.41	-75.71224751176607	-288.9260694813414	235.46903821501064	-129.16927877809684
3.42	-77.39637823789889	-286.2664426509906	234.06431811342853	-129.59850277546096
3.43	-78.97575457576934	-283.63665381090664	232.6700506028092	-129.94235778386675
3.44	-80.4543561275252	-281.0363076803828	231.28614307849315	-130.20452072941484
3.45	-81.83602690127495	-278.4650150547906	229.91250390331174	-130.3885380527538
3.46	-83.1244798494273	-275.92239269817077	228.54904239544487	-130.4978301521532
3.47	-84.32330125151076	-273.4080632379941	227.19566881647216	-130.5356956730327
3.48	-85.43595494704786	-270.92165506205004	225.8522943596088	-130.50531564948912
3.49	-86.46578642385316	-268.4628022174062	224.51883113810996	-130.4097575031494
3.5	-87.41602676691811	-266.0311443113976	223.19519217386878	-130.25197890444693
3.51	-88.28979647285183	-263.6263264145958	221.8812913861738	-130.0348315012738
3.52	-89.09010913465939	-261.2479989657133	220.57704358064817	-129.7610645197245
3.53	-89.81987500146055	-258.895817678401	219.28236443834706	-129.4333282415145
3.54	-90.48190441757816	-256.56944344989404	217.997170505024	-129.0541773624482
3.55	-91.07891114526082	-254.26854227146248	216.72137918055742	-128.62607423616586
3.56	-91.61351557514288	-251.99278514063278	215.45490870853274	-128.15139200724292
3.57	-92.08824782839828	-249.74184797513269	214.19767816598977	-127.63241763754121
3.58	-92.50555075438854	-247.5154115285251	212.9496074533043	-127.0713548296093
3.59	-92.86778282747356	-245.31316130749397	211.71061728423783	-126.47032685072972
3.6	-93.177220946511	-243.1347874907418	210.48062917612353	-125.83137926112923
3.61	-93.43606314044624	-240.9799848494668	209.25956544020087	-125.1564825497122
3.62	-93.64643118326359	-238.8484526693819	208.04734917208768	-124.44753468055782
3.63	-93.81037312145358	-236.7398946742449	206.8439042423994	-123.70636355329907
3.64	-93.92986571703602	-234.65401895086177	205.64915528749364	-122.93472938040415
3.65	-94.00681680906168	-232.59053787553654	204.46302770036033	-122.13432698423787
3.66	-94.0430675964165	-230.54916804193041	203.28544762163622	-121.30678801671067
3.67	-94.04039484464434	-228.52963019030486	202.11634193075145	-120.45368310419775
3.68	-94.00051301940583	-226.5316491381137	200.95563823720298	-119.57652392031653
3.69	-93.92507634909998	-224.5549537119189	199.80326487195495	-118.6767651890639
3.7	-93.815680819078	-222.5992766805983	198.65915087895812	-117.75580662071818
3.71	-93.67386609979667	-220.66435468982138	197.5232260067911	-116.81499478282694
