# ILJ inte energies with beta = 8.0 and f(r) = 1
#N		tot			  ILJ			  els			  ind
 3		-18.94    -10.04	  +42.02		-50.92
 5		-37.95		-11.26		+27.37		-54.06
 7		-47.75		-11.71		+18.70		-54.74
 9		-53.20		-11.64		+13.64		-55.20
11		-56.41		-11.57		+10.60		-55.44
13		-58.35		-11.74		+8.80		  -55.42
